surah	ayah	word	segment	form_bw	form_ar	tag	segment_type	pos	lemma	lemma_ar	root	root_ar	aspect	verb_form	voice	derivation	person	gender	number	case	mood	state	prefix	suffix_pron	special
2	129	7	1	Ealayo	عَلَيْ	P	STEM	P	EalaY`	عَلَىٰ															
2	129	7	2	himo	هِمْ	PRON	SUFFIX																	3MP	
2	129	8	1	'aAya`ti	ءَايَٰتِ	N	STEM	N	'aAyap	ءَايَة	Ayy	ايي						F	P	ACC					
2	129	8	2	ka	كَ	PRON	SUFFIX																	2MS	
2	129	9	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	129	9	2	yuEal~imu	يُعَلِّمُ	V	STEM	V	Eal~ama	عَلَّمَ	Elm	علم	IMPF	II			3	M	S						
2	129	9	3	humu	هُمُ	PRON	SUFFIX																	3MP	
2	129	10	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	129	10	2	kita`ba	كِتَٰبَ	N	STEM	N	kita`b	كِتَٰب	ktb	كتب						M		ACC					
2	129	11	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	129	11	2	{lo	ٱلْ	DET	PREFIX																Al+		
2	129	11	3	Hikomapa	حِكْمَةَ	N	STEM	N	Hikomap	حِكْمَة	Hkm	حكم						F		ACC					
2	129	12	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	129	12	2	yuzak~iy	يُزَكِّي	V	STEM	V	zak~aY`	زَكَّىٰ	zkw	زكو	IMPF	II			3	M	S						
2	129	12	3	himo	هِمْ	PRON	SUFFIX																	3MP	
2	129	13	1	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	129	13	2	ka	كَ	PRON	SUFFIX																	2MS	
2	129	14	1	>anta	أَنتَ	PRON	STEM	PRON									2	M	S						
2	129	15	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	129	15	2	Eaziyzu	عَزِيزُ	N	STEM	N	Eaziyz	عَزِيز	Ezz	عزز						M	S	NOM					
2	129	16	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	129	16	2	Hakiymu	حَكِيمُ	ADJ	STEM	ADJ	Hakiym	حَكِيم	Hkm	حكم						M	S	NOM					
2	130	1	1	wa	وَ	REM	PREFIX																w:REM+		
2	130	1	2	man	مَن	INTG	STEM	INTG	man	مَن															
2	130	2	1	yarogabu	يَرْغَبُ	V	STEM	V	yarogabu	يَرْغَبُ	rgb	رغب	IMPF				3	M	S						
2	130	3	1	Ean	عَن	P	STEM	P	Ean	عَن															
2	130	4	1	m~il~api	مِّلَّةِ	N	STEM	N	mil~ap	مِلَّة	mll	ملل						F		GEN					
2	130	5	1	<ibora`hi.ma	إِبْرَٰهِ.مَ	PN	STEM	PN	<iboraAhiym	إِبْرَاهِيم								M		GEN					
2	130	6	1	<il~aA	إِلَّا	RES	STEM	RES	<il~aA	إِلَّا															
2	130	7	1	man	مَن	REL	STEM	REL	man	مَن															
2	130	8	1	safiha	سَفِهَ	V	STEM	V	safiha	سَفِهَ	sfh	سفه	PERF				3	M	S						
2	130	9	1	nafosa	نَفْسَ	N	STEM	N	nafos	نَفْس	nfs	نفس						F	S	ACC					
2	130	9	2	hu,	هُ,	PRON	SUFFIX																	3MS	
2	130	10	1	wa	وَ	REM	PREFIX																w:REM+		
2	130	10	2	la	لَ	EMPH	PREFIX																l:EMPH+		
2	130	10	3	qadi	قَدِ	CERT	STEM	CERT	qad	قَد															
2	130	11	1	{SoTafayo	ٱصْطَفَيْ	V	STEM	V	{SoTafaY`	ٱصْطَفَىٰ	Sfw	صفو	PERF	VIII			1		P						
2	130	11	2	na`	نَٰ	PRON	SUFFIX																	1P	
2	130	11	3	hu	هُ	PRON	SUFFIX																	3MS	
2	130	12	1	fiY	فِى	P	STEM	P	fiY	فِى															
2	130	13	1	{l	ٱل	DET	PREFIX																Al+		
2	130	13	2	d~unoyaA	دُّنْيَا	N	STEM	N	d~unoyaA	دُّنْيَا	dnw	دنو						F	S	GEN					
2	130	14	1	wa	وَ	REM	PREFIX																w:REM+		
2	130	14	2	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	130	14	3	hu,	هُ,	PRON	SUFFIX																	3MS	
2	130	15	1	fiY	فِى	P	STEM	P	fiY	فِى															
2	130	16	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	130	16	2	'aAxirapi	ءَاخِرَةِ	N	STEM	N	A^xir	آخِر	Axr	اخر						F	S	GEN					
2	130	17	1	la	لَ	EMPH	PREFIX																l:EMPH+		
2	130	17	2	mina	مِنَ	P	STEM	P	min	مِن															
2	130	18	1	{l	ٱل	DET	PREFIX																Al+		
2	130	18	2	S~a`liHiyna	صَّٰلِحِينَ	N	STEM	N	Sa`liH	صَٰلِح	SlH	صلح			ACT	PCPL		M	P	GEN					
2	131	1	1	<i*o	إِذْ	T	STEM	T	<i*	إِذ															
2	131	2	1	qaAla	قَالَ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	S						
2	131	3	1	la	لَ	P	PREFIX																l:P+		
2	131	3	2	hu,	هُ,	PRON	STEM	PRON									3	M	S						
2	131	4	1	rab~u	رَبُّ	N	STEM	N	rab~	رَبّ	rbb	ربب						M		NOM					
2	131	4	2	hu,^	هُ,ٓ	PRON	SUFFIX																	3MS	
2	131	5	1	>asolimo	أَسْلِمْ	V	STEM	V	>asolama	أَسْلَمَ	slm	سلم	IMPV	IV			2	M	S						
2	131	6	1	qaAla	قَالَ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	S						
2	131	7	1	>asolamo	أَسْلَمْ	V	STEM	V	>asolama	أَسْلَمَ	slm	سلم	PERF	IV			1		S						
2	131	7	2	tu	تُ	PRON	SUFFIX																	1S	
2	131	8	1	li	لِ	P	PREFIX																l:P+		
2	131	8	2	rab~i	رَبِّ	N	STEM	N	rab~	رَبّ	rbb	ربب						M		GEN					
2	131	9	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	131	9	2	Ea`lamiyna	عَٰلَمِينَ	N	STEM	N	Ea`lamiyn	عَٰلَمِين	Elm	علم						M	P	GEN					
2	132	1	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	132	1	2	waS~aY`	وَصَّىٰ	V	STEM	V	waS~aY`	وَصَّىٰ	wSy	وصي	PERF	II			3	M	S						
2	132	2	1	bi	بِ	P	PREFIX																bi+		
2	132	2	2	haA^	هَآ	PRON	STEM	PRON									3	F	S						
2	132	3	1	<ibora`hi.mu	إِبْرَٰهِ.مُ	PN	STEM	PN	<iboraAhiym	إِبْرَاهِيم								M		NOM					
2	132	4	1	baniy	بَنِي	N	STEM	N	bunaY~	بُنَىّ	bny	بني						M	P	ACC					
2	132	4	2	hi	هِ	PRON	SUFFIX																	3MS	
2	132	5	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	132	5	2	yaEoquwbu	يَعْقُوبُ	PN	STEM	PN	yaEoquwb	يَعْقُوب										NOM					
2	132	6	1	ya`	يَٰ	VOC	PREFIX																ya+		
2	132	6	2	baniY~a	بَنِىَّ	N	STEM	N	bunaY~	بُنَىّ	bny	بني						M	P	ACC					
2	132	6	3			PRON	SUFFIX																	1S	
2	132	7	1	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	132	8	1	{ll~aha	ٱللَّهَ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								ACC					
2	132	9	1	{SoTafaY`	ٱصْطَفَىٰ	V	STEM	V	{SoTafaY`	ٱصْطَفَىٰ	Sfw	صفو	PERF	VIII			3	M	S						
2	132	10	1	la	لَ	P	PREFIX																l:P+		
2	132	10	2	kumu	كُمُ	PRON	STEM	PRON									2	M	P						
2	132	11	1	{l	ٱل	DET	PREFIX																Al+		
2	132	11	2	d~iyna	دِّينَ	N	STEM	N	diyn	دِين	dyn	دين						M		ACC					
2	132	12	1	fa	فَ	REM	PREFIX																f:REM+		
2	132	12	2	laA	لَا	NEG	STEM	NEG	laA	لَا															
2	132	13	1	tamuwtu	تَمُوتُ	V	STEM	V	m~aAta	مَّاتَ	mwt	موت	IMPF				2	M	P		JUS				
2	132	13	2	n~a	نَّ	EMPH	SUFFIX																		
2	132	14	1	<il~aA	إِلَّا	RES	STEM	RES	<il~aA	إِلَّا															
2	132	15	1	wa	وَ	CIRC	PREFIX																w:CIRC+		
2	132	15	2	>antum	أَنتُم	PRON	STEM	PRON									2	M	P						
2	132	16	1	m~usolimuwna	مُّسْلِمُونَ	N	STEM	N	musolim	مُسْلِم	slm	سلم		IV	ACT	PCPL		M	P	NOM					
2	133	1	1	>amo	أَمْ	CONJ	STEM	CONJ	>am	أَم															
2	133	2	1	kun	كُن	V	STEM	V	kaAna	كَانَ	kwn	كون	PERF				2	M	P						kaAn
2	133	2	2	tumo	تُمْ	PRON	SUFFIX																	2MP	
2	133	3	1	$uhadaA^'a	شُهَدَآءَ	N	STEM	N	$ahiyd	شَهِيد	$hd	شهد						M	P	ACC					
2	133	4	1	<i*o	إِذْ	T	STEM	T	<i*	إِذ															
2	133	5	1	HaDara	حَضَرَ	V	STEM	V	HaDara	حَضَرَ	HDr	حضر	PERF				3	M	S						
2	133	6	1	yaEoquwba	يَعْقُوبَ	PN	STEM	PN	yaEoquwb	يَعْقُوب										ACC					
2	133	7	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	133	7	2	mawotu	مَوْتُ	N	STEM	N	mawot	مَوْت	mwt	موت						M		NOM					
2	133	8	1	<i*o	إِذْ	T	STEM	T	<i*	إِذ															
2	133	9	1	qaAla	قَالَ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	S						
2	133	10	1	li	لِ	P	PREFIX																l:P+		
2	133	10	2	baniy	بَنِي	N	STEM	N	bunaY~	بُنَىّ	bny	بني						M	P	GEN					
2	133	10	3	hi	هِ	PRON	SUFFIX																	3MS	
2	133	11	1	maA	مَا	INTG	STEM	INTG	maA	مَا															
2	133	12	1	taEobudu	تَعْبُدُ	V	STEM	V	Eabada	عَبَدَ	Ebd	عبد	IMPF				2	M	P						
2	133	12	2	wna	ونَ	PRON	SUFFIX																	2MP	
2	133	13	1	min[	مِن[	P	STEM	P	min	مِن															
2	133	14	1	baEodi	بَعْدِ	N	STEM	N	baEod	بَعْد	bEd	بعد						M		GEN					
2	133	14	2	Y	ى	PRON	SUFFIX																	1S	
2	133	15	1	qaAlu	قَالُ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	P						
2	133	15	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	133	16	1	naEobudu	نَعْبُدُ	V	STEM	V	Eabada	عَبَدَ	Ebd	عبد	IMPF				1		P						
2	133	17	1	<ila`ha	إِلَٰهَ	N	STEM	N	<ila`h	إِلَٰه	Alh	اله						M	S	ACC					
2	133	17	2	ka	كَ	PRON	SUFFIX																	2MS	
2	133	18	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	133	18	2	<ila`ha	إِلَٰهَ	N	STEM	N	<ila`h	إِلَٰه	Alh	اله						M	S	ACC					
2	133	19	1	'aAbaA^}i	ءَابَآئِ	N	STEM	N	A^baA'	آبَاء	Abw	ابو						M	P	GEN					
2	133	19	2	ka	كَ	PRON	SUFFIX																	2MS	
2	133	20	1	<ibora`hi.ma	إِبْرَٰهِ.مَ	PN	STEM	PN	<iboraAhiym	إِبْرَاهِيم								M		GEN					
2	133	21	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	133	21	2	<isoma`Eiyla	إِسْمَٰعِيلَ	PN	STEM	PN	<isomaAEiyl	إِسْمَاعِيل								M		GEN					
2	133	22	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	133	22	2	<isoHa`qa	إِسْحَٰقَ	PN	STEM	PN	<isoHaAq	إِسْحَاق										GEN					
2	133	23	1	<ila`hFA	إِلَٰهًا	N	STEM	N	<ila`h	إِلَٰه	Alh	اله						M	S	ACC		INDEF			
2	133	24	1	wa`HidFA	وَٰحِدًا	ADJ	STEM	ADJ	wa`Hid	وَٰحِد	wHd	وحد						M	S	ACC		INDEF			
2	133	25	1	wa	وَ	CIRC	PREFIX																w:CIRC+		
2	133	25	2	naHonu	نَحْنُ	PRON	STEM	PRON									1		P						
2	133	26	1	la	لَ	P	PREFIX																l:P+		
2	133	26	2	hu,	هُ,	PRON	STEM	PRON									3	M	S						
2	133	27	1	musolimuwna	مُسْلِمُونَ	N	STEM	N	musolim	مُسْلِم	slm	سلم		IV	ACT	PCPL		M	P	NOM					
2	134	1	1	tiloka	تِلْكَ	DEM	STEM	DEM	*a`lik	ذَٰلِك								F	S						
2	134	2	1	>um~apN	أُمَّةٌ	N	STEM	N	>um~ap	أُمَّة	Amm	امم						F	S	NOM		INDEF			
2	134	3	1	qado	قَدْ	CERT	STEM	CERT	qad	قَد															
2	134	4	1	xalato	خَلَتْ	V	STEM	V	xalaA	خَلَا	xlw	خلو	PERF				3	F	S						
2	134	5	1	la	لَ	P	PREFIX																l:P+		
2	134	5	2	haA	هَا	PRON	STEM	PRON									3	F	S						
2	134	6	1	maA	مَا	REL	STEM	REL	maA	مَا															
2	134	7	1	kasabato	كَسَبَتْ	V	STEM	V	kasaba	كَسَبَ	ksb	كسب	PERF				3	F	S						
2	134	8	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	134	8	2	la	لَ	P	PREFIX																l:P+		
2	134	8	3	kum	كُم	PRON	STEM	PRON									2	M	P						
2	134	9	1	m~aA	مَّا	REL	STEM	REL	maA	مَا															
2	134	10	1	kasabo	كَسَبْ	V	STEM	V	kasaba	كَسَبَ	ksb	كسب	PERF				2	M	P						
2	134	10	2	tumo	تُمْ	PRON	SUFFIX																	2MP	
2	134	11	1	wa	وَ	REM	PREFIX																w:REM+		
2	134	11	2	laA	لَا	NEG	STEM	NEG	laA	لَا															
2	134	12	1	tuso_#alu	تُسْـَٔلُ	V	STEM	V	sa>ala	سَأَلَ	sAl	سال	IMPF		PASS		2	M	P						
2	134	12	2	wna	ونَ	PRON	SUFFIX																	2MP	
2	134	13	1	Ea	عَ	P	STEM	P	Ean	عَن															
2	134	13	2	m~aA	مَّا	REL	STEM	REL	maA	مَا															
2	134	14	1	kaAnu	كَانُ	V	STEM	V	kaAna	كَانَ	kwn	كون	PERF				3	M	P						kaAn
2	134	14	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	134	15	1	yaEomalu	يَعْمَلُ	V	STEM	V	Eamila	عَمِلَ	Eml	عمل	IMPF				3	M	P						
2	134	15	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	135	1	1	wa	وَ	REM	PREFIX																w:REM+		
2	135	1	2	qaAlu	قَالُ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	P						
2	135	1	3	wA@	وا@	PRON	SUFFIX																	3MP	
2	135	2	1	kuwnu	كُونُ	V	STEM	V	kaAna	كَانَ	kwn	كون	IMPV				2	M	P						kaAn
2	135	2	2	wA@	وا@	PRON	SUFFIX																	2MP	
2	135	3	1	huwdFA	هُودًا	PN	STEM	PN	huwd2	هُود2	hwd	هود						M		ACC		INDEF			
2	135	4	1	>awo	أَوْ	CONJ	STEM	CONJ	>aw	أَو															
2	135	5	1	naSa`raY`	نَصَٰرَىٰ	PN	STEM	PN	naSoraAniy~	نَصْرَانِيّ	nSr	نصر								ACC					
2	135	6	1	tahotadu	تَهْتَدُ	V	STEM	V	{hotadaY`	ٱهْتَدَىٰ	hdy	هدي	IMPF	VIII			2	M	P		JUS				
2	135	6	2	wA@	وا@	PRON	SUFFIX																	2MP	
2	135	7	1	qulo	قُلْ	V	STEM	V	qaAla	قَالَ	qwl	قول	IMPV				2	M	S						
2	135	8	1	balo	بَلْ	RET	STEM	RET	bal	بَل															
2	135	9	1	mil~apa	مِلَّةَ	N	STEM	N	mil~ap	مِلَّة	mll	ملل						F		ACC					
2	135	10	1	<ibora`hi.ma	إِبْرَٰهِ.مَ	PN	STEM	PN	<iboraAhiym	إِبْرَاهِيم								M		GEN					
2	135	11	1	HaniyfFA	حَنِيفًا	N	STEM	N	Haniyf	حَنِيف	Hnf	حنف						M		ACC		INDEF			
2	135	12	1	wa	وَ	REM	PREFIX																w:REM+		
2	135	12	2	maA	مَا	NEG	STEM	NEG	maA	مَا															
2	135	13	1	kaAna	كَانَ	V	STEM	V	kaAna	كَانَ	kwn	كون	PERF				3	M	S						kaAn
2	135	14	1	mina	مِنَ	P	STEM	P	min	مِن															
2	135	15	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	135	15	2	mu$orikiyna	مُشْرِكِينَ	N	STEM	N	mu$orik	مُشْرِك	$rk	شرك		IV	ACT	PCPL		M	P	GEN					
2	136	1	1	quwlu	قُولُ	V	STEM	V	qaAla	قَالَ	qwl	قول	IMPV				2	M	P						
2	136	1	2	w^A@	وٓا@	PRON	SUFFIX																	2MP	
2	136	2	1	'aAma	ءَامَ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			1		P						
2	136	2	2	n~aA	نَّا	PRON	SUFFIX																	1P	
2	136	3	1	bi	بِ	P	PREFIX																bi+		
2	136	3	2	{ll~ahi	ٱللَّهِ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								GEN					
2	136	4	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	4	2	maA^	مَآ	REL	STEM	REL	maA	مَا															
2	136	5	1	>unzila	أُنزِلَ	V	STEM	V	>anzala	أَنزَلَ	nzl	نزل	PERF	IV	PASS		3	M	S						
2	136	6	1	<ilayo	إِلَيْ	P	STEM	P	<ilaY`	إِلَىٰ															
2	136	6	2	naA	نَا	PRON	SUFFIX																	1P	
2	136	7	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	7	2	maA^	مَآ	REL	STEM	REL	maA	مَا															
2	136	8	1	>unzila	أُنزِلَ	V	STEM	V	>anzala	أَنزَلَ	nzl	نزل	PERF	IV	PASS		3	M	S						
2	136	9	1	<ilaY`^	إِلَىٰٓ	P	STEM	P	<ilaY`	إِلَىٰ															
2	136	10	1	<ibora`hi.ma	إِبْرَٰهِ.مَ	PN	STEM	PN	<iboraAhiym	إِبْرَاهِيم								M		GEN					
2	136	11	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	11	2	<isoma`Eiyla	إِسْمَٰعِيلَ	PN	STEM	PN	<isomaAEiyl	إِسْمَاعِيل								M		GEN					
2	136	12	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	12	2	<isoHa`qa	إِسْحَٰقَ	PN	STEM	PN	<isoHaAq	إِسْحَاق										GEN					
2	136	13	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	13	2	yaEoquwba	يَعْقُوبَ	PN	STEM	PN	yaEoquwb	يَعْقُوب										GEN					
2	136	14	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	14	2	{lo	ٱلْ	DET	PREFIX																Al+		
2	136	14	3	>asobaATi	أَسْبَاطِ	N	STEM	N	>asobaAT	أَسْبَاط	sbT	سبط						M	P	GEN					
2	136	15	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	15	2	maA^	مَآ	REL	STEM	REL	maA	مَا															
2	136	16	1	>uwtiYa	أُوتِىَ	V	STEM	V	A^taY	آتَى	Aty	اتي	PERF	IV	PASS		3	M	S						
2	136	17	1	muwsaY`	مُوسَىٰ	PN	STEM	PN	muwsaY`	مُوسَىٰ								M		NOM					
2	136	18	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	18	2	EiysaY`	عِيسَىٰ	PN	STEM	PN	EiysaY	عِيسَى										NOM					
2	136	19	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	136	19	2	maA^	مَآ	REL	STEM	REL	maA	مَا															
2	136	20	1	>uwtiYa	أُوتِىَ	V	STEM	V	A^taY	آتَى	Aty	اتي	PERF	IV	PASS		3	M	S						
2	136	21	1	{l	ٱل	DET	PREFIX																Al+		
2	136	21	2	n~abiy~uwna	نَّبِيُّونَ	N	STEM	N	n~abiY~	نَّبِىّ	nbA	نبا						M	P	NOM					
2	136	22	1	min	مِن	P	STEM	P	min	مِن															
2	136	23	1	r~ab~i	رَّبِّ	N	STEM	N	rab~	رَبّ	rbb	ربب						M		GEN					
2	136	23	2	himo	هِمْ	PRON	SUFFIX																	3MP	
2	136	24	1	laA	لَا	NEG	STEM	NEG	laA	لَا															
2	136	25	1	nufar~iqu	نُفَرِّقُ	V	STEM	V	far~aqu	فَرَّقُ	frq	فرق	IMPF	II			1		P						
2	136	26	1	bayona	بَيْنَ	LOC	STEM	LOC	bayon	بَيْن	byn	بين								ACC					
2	136	27	1	>aHadK	أَحَدٍ	N	STEM	N	>aHad	أَحَد	AHd	احد						M		GEN		INDEF			
2	136	28	1	m~ino	مِّنْ	P	STEM	P	min	مِن															
2	136	28	2	humo	هُمْ	PRON	SUFFIX																	3MP	
2	136	29	1	wa	وَ	CIRC	PREFIX																w:CIRC+		
2	136	29	2	naHonu	نَحْنُ	PRON	STEM	PRON									1		P						
2	136	30	1	la	لَ	P	PREFIX																l:P+		
2	136	30	2	hu,	هُ,	PRON	STEM	PRON									3	M	S						
2	136	31	1	musolimuwna	مُسْلِمُونَ	N	STEM	N	musolim	مُسْلِم	slm	سلم		IV	ACT	PCPL		M	P	NOM					
2	137	1	1	fa	فَ	REM	PREFIX																f:REM+		
2	137	1	2	<ino	إِنْ	COND	STEM	COND	<in	إِن															
2	137	2	1	'aAmanu	ءَامَنُ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			3	M	P						
2	137	2	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	137	3	1	bi	بِ	P	PREFIX																bi+		
2	137	3	2	mivoli	مِثْلِ	N	STEM	N	mivol	مِثْل	mvl	مثل						M		GEN					
2	137	4	1	maA^	مَآ	REL	STEM	REL	maA	مَا															
2	137	5	1	'aAman	ءَامَن	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			2	M	P						
2	137	5	2	tum	تُم	PRON	SUFFIX																	2MP	
2	137	6	1	bi	بِ	P	PREFIX																bi+		
2	137	6	2	hi.	هِ.	PRON	STEM	PRON									3	M	S						
2	137	7	1	fa	فَ	RSLT	PREFIX																f:RSLT+		
2	137	7	2	qadi	قَدِ	CERT	STEM	CERT	qad	قَد															
2	137	8	1	{hotada	ٱهْتَدَ	V	STEM	V	{hotadaY`	ٱهْتَدَىٰ	hdy	هدي	PERF	VIII			3	M	P						
2	137	8	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	137	9	1	w~a	وَّ	CONJ	PREFIX																w:CONJ+		
2	137	9	2	<in	إِن	COND	STEM	COND	<in	إِن															
2	137	10	1	tawal~a	تَوَلَّ	V	STEM	V	tawal~aY`	تَوَلَّىٰ	wly	ولي	PERF	V			3	M	P						
2	137	10	2	woA@	وْا@	PRON	SUFFIX																	3MP	
2	137	11	1	fa	فَ	RSLT	PREFIX																f:RSLT+		
2	137	11	2	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	137	11	3	maA	مَا	PREV	STEM	PREV	maA	مَا															
2	137	12	1	humo	هُمْ	PRON	STEM	PRON									3	M	P						
2	137	13	1	fiY	فِى	P	STEM	P	fiY	فِى															
2	137	14	1	$iqaAqK	شِقَاقٍ	N	STEM	N	$iqaAq	شِقَاق	$qq	شقق		III		VN		M		GEN		INDEF			
2	137	15	1	fa	فَ	RSLT	PREFIX																f:RSLT+		
2	137	15	2	sa	سَ	FUT	PREFIX																sa+		
2	137	15	3	yakofiy	يَكْفِي	V	STEM	V	kafaY`	كَفَىٰ	kfy	كفي	IMPF				3	M	S						
2	137	15	4	ka	كَ	PRON	SUFFIX																	2MS	
2	137	15	5	humu	هُمُ	PRON	SUFFIX																	3MP	
2	137	16	1	{ll~ahu	ٱللَّهُ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								NOM					
2	137	17	1	wa	وَ	REM	PREFIX																w:REM+		
2	137	17	2	huwa	هُوَ	PRON	STEM	PRON									3	M	S						
2	137	18	1	{l	ٱل	DET	PREFIX																Al+		
2	137	18	2	s~amiyEu	سَّمِيعُ	N	STEM	N	samiyE	سَمِيع	smE	سمع						M	S	NOM					
2	137	19	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	137	19	2	Ealiymu	عَلِيمُ	ADJ	STEM	ADJ	Ealiym	عَلِيم	Elm	علم						M	S	NOM					
2	138	1	1	Sibogapa	صِبْغَةَ	N	STEM	N	Sibogap	صِبْغَة	Sbg	صبغ						F		ACC					
2	138	2	1	{ll~ahi	ٱللَّهِ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								GEN					
2	138	3	1	wa	وَ	REM	PREFIX																w:REM+		
2	138	3	2	mano	مَنْ	INTG	STEM	INTG	man	مَن															
2	138	4	1	>aHosanu	أَحْسَنُ	N	STEM	N	>aHosan	أَحْسَن	Hsn	حسن						M	S	NOM					
2	138	5	1	mina	مِنَ	P	STEM	P	min	مِن															
2	138	6	1	{ll~ahi	ٱللَّهِ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								GEN					
2	138	7	1	SibogapF	صِبْغَةً	N	STEM	N	Sibogap	صِبْغَة	Sbg	صبغ						F		ACC		INDEF			
2	138	8	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	138	8	2	naHonu	نَحْنُ	PRON	STEM	PRON									1		P						
2	138	9	1	la	لَ	P	PREFIX																l:P+		
2	138	9	2	hu,	هُ,	PRON	STEM	PRON									3	M	S						
2	138	10	1	Ea`biduwna	عَٰبِدُونَ	N	STEM	N	EaAbid	عَابِد	Ebd	عبد			ACT	PCPL		M	P	NOM					
2	139	1	1	qulo	قُلْ	V	STEM	V	qaAla	قَالَ	qwl	قول	IMPV				2	M	S						
2	139	2	1	>a	أَ	INTG	PREFIX																A:INTG+		
2	139	2	2	tuHaA^j~u	تُحَآجُّ	V	STEM	V	HaA^j~a	حَآجَّ	Hjj	حجج	IMPF	III			2	M	P						
2	139	2	3	wna	ونَ	PRON	SUFFIX																	2MP	
2	139	2	4	naA	نَا	PRON	SUFFIX																	1P	
2	139	3	1	fiY	فِى	P	STEM	P	fiY	فِى															
2	139	4	1	{ll~ahi	ٱللَّهِ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								GEN					
2	139	5	1	wa	وَ	REM	PREFIX																w:REM+		
2	139	5	2	huwa	هُوَ	PRON	STEM	PRON									3	M	S						
2	139	6	1	rab~u	رَبُّ	N	STEM	N	rab~	رَبّ	rbb	ربب						M		NOM					
2	139	6	2	naA	نَا	PRON	SUFFIX																	1P	
2	139	7	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	139	7	2	rab~u	رَبُّ	N	STEM	N	rab~	رَبّ	rbb	ربب						M		NOM					
2	139	7	3	kumo	كُمْ	PRON	SUFFIX																	2MP	
2	139	8	1	wa	وَ	REM	PREFIX																w:REM+		
2	139	8	2	la	لَ	P	PREFIX																l:P+		
2	139	8	3	naA^	نَآ	PRON	STEM	PRON									1		P						
2	139	9	1	>aEoma`lu	أَعْمَٰلُ	N	STEM	N	Eamal	عَمَل	Eml	عمل						M	P	NOM					
2	139	9	2	naA	نَا	PRON	SUFFIX																	1P	
2	139	10	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	139	10	2	la	لَ	P	PREFIX																l:P+		
2	139	10	3	kumo	كُمْ	PRON	STEM	PRON									2	M	P						
2	139	11	1	>aEoma`lu	أَعْمَٰلُ	N	STEM	N	Eamal	عَمَل	Eml	عمل						M	P	NOM					
2	139	11	2	kumo	كُمْ	PRON	SUFFIX																	2MP	
2	139	12	1	wa	وَ	REM	PREFIX																w:REM+		
